id,Age,Annual_Income_USD,Daily_Commute_km,Number_of_Cars_Owned,Charging_Stations_Near_Home,Charging_Stations_Near_Work,Environmental_Concern_Level,Gender,City_Type,Current_Car_Type,Home_Charging_Possible,Subsidy_Available,Range_Anxiety_Level,Will_Buy_EV
0,66,92887,23.4,2,3,7,1,Male,Suburban,Sedan,Yes,No,Low,No
1,38,30000,5,1,2,2,4,Male,Rural,SUV,Yes,No,Low,No
2,26,94389,36.8,1,8,15,5,Female,Urban,Sedan,No,Yes,Low,Yes
3,66,73580,23.7,2,6,9,3,Male,Suburban,Hatchback,Yes,No,Low,No
4,54,57898,50.8,1,2,3,3,Male,Suburban,Hatchback,Yes,No,Low,No
5,50,95938,55.1,2,8,15,3,Other,Urban,Sedan,No,No,Low,No
6,55,109219,42.9,1,1,5,4,Male,Suburban,Sedan,Yes,Yes,Low,Yes
7,45,60796,52.2,2,13,3,2,Other,Urban,SUV,No,Yes,Medium,No
8,39,67725,31.5,2,11,3,2,Female,Urban,Sedan,No,Yes,Medium,No
9,57,114827,66.9,2,0,1,5,Male,Rural,Sedan,Yes,Yes,Low,Yes
10,39,122876,27.6,2,9,9,1,Male,Urban,Sedan,No,Yes,Low,No
11,50,67847,5,2,6,7,1,Male,Suburban,Sedan,Yes,Yes,Low,No
12,25,113911,47.4,1,7,17,1,Male,Urban,SUV,Yes,No,Low,No
13,26,83059,33.3,1,10,18,5,Male,Urban,Sedan,Yes,Yes,Low,Yes
14,25,92697,19.5,2,6,11,5,Male,Urban,Sedan,Yes,Yes,Low,Yes
15,65,117742,5,1,1,2,1,Female,Rural,Sedan,Yes,Yes,Low,No
16,59,108193,44.5,1,6,16,4,Female,Urban,Hatchback,No,Yes,Low,No
17,36,93811,35.4,1,7,12,1,Male,Urban,SUV,No,Yes,Medium,No
18,65,30000,5,4,9,14,2,Male,Urban,Sedan,No,Yes,Low,No
19,55,87572,76.4,2,3,13,4,Female,Urban,Truck,No,No,Medium,No
20,36,86822,5,3,3,7,5,Female,Suburban,Hatchback,Yes,Yes,Low,Yes
21,51,30000,5,4,13,10,2,Male,Urban,Sedan,Yes,No,Low,No
22,50,97680,25.4,1,0,0,5,Female,Rural,SUV,Yes,Yes,Low,No
23,41,87715,18.6,1,10,5,3,Male,Urban,SUV,No,Yes,Low,Yes
24,38,102883,36.2,1,9,11,3,Female,Urban,SUV,No,Yes,Low,No
25,25,78740,49.4,1,0,3,3,Male,Rural,SUV,Yes,Yes,Medium,No
26,36,132993,20.1,1,0,8,5,Female,Suburban,SUV,Yes,No,Low,No
27,32,44954,42.7,1,2,8,2,Female,Suburban,SUV,Yes,No,Low,No
28,55,30000,32.6,1,0,3,5,Female,Rural,Truck,Yes,Yes,Low,Yes
29,36,120748,54.8,2,3,1,2,Male,Suburban,Sedan,Yes,Yes,Low,No
30,45,30000,5,2,0,1,2,Male,Rural,Truck,Yes,Yes,Low,No
31,48,125937,25.8,1,3,7,2,Female,Urban,SUV,Yes,No,Low,No
32,46,54322,50.6,2,2,3,4,Male,Suburban,Sedan,Yes,Yes,Low,Yes
33,60,93688,48,1,0,3,1,Male,Suburban,Sedan,Yes,No,Low,No
34,28,77366,32,2,0,0,2,Female,Rural,Sedan,Yes,Yes,Low,No
35,60,81098,31,2,11,11,1,Male,Urban,Sedan,Yes,Yes,Low,No
36,68,78134,29.8,1,2,1,4,Male,Rural,SUV,Yes,No,Low,No
37,50,107845,13.2,1,4,19,5,Female,Urban,Sedan,No,No,Low,No
38,56,102773,5,2,6,16,5,Male,Urban,SUV,No,Yes,Low,Yes
39,66,152720,5,4,3,3,5,Male,Suburban,Sedan,Yes,Yes,Low,No
40,51,92626,45.4,2,6,8,3,Male,Suburban,Sedan,Yes,No,Low,No
41,49,30000,41.3,1,2,0,5,Female,Rural,SUV,Yes,No,Low,No
42,57,30000,37.7,1,1,3,3,Female,Rural,Sedan,Yes,No,Low,No
43,67,101725,21,2,13,4,4,Female,Urban,SUV,No,Yes,Medium,No
44,43,92897,11.2,1,6,18,4,Female,Urban,Sedan,Yes,Yes,Low,Yes
45,29,84789,45.9,2,2,3,3,Male,Suburban,Sedan,Yes,No,Low,No
46,55,95812,21,2,3,7,4,Male,Urban,Truck,Yes,Yes,Low,Yes
47,42,30000,36.2,1,1,1,5,Male,Rural,Hatchback,Yes,Yes,Low,Yes
48,31,69054,45.9,1,4,8,4,Female,Suburban,SUV,Yes,No,Low,No
49,55,75874,52.2,1,3,12,4,Female,Urban,SUV,No,Yes,Low,No
50,58,73928,5,1,3,10,5,Female,Urban,Truck,No,No,Low,No
51,67,89526,28.5,1,5,1,5,Female,Suburban,Sedan,Yes,Yes,Low,Yes
52,35,154551,5,2,6,15,4,Female,Urban,Sedan,Yes,Yes,Low,Yes
53,39,98296,39.6,1,3,1,2,Female,Suburban,SUV,Yes,Yes,Low,No
54,53,64417,30.4,1,5,9,2,Female,Suburban,Sedan,Yes,Yes,Low,No
55,60,59521,5,3,5,6,5,Female,Urban,Sedan,No,Yes,Low,Yes
56,38,65801,34.4,4,7,17,5,Male,Urban,Sedan,Yes,Yes,Low,No
57,31,111875,45.4,1,2,3,3,Female,Urban,Sedan,No,No,Medium,No
58,37,102855,57.7,1,0,2,2,Male,Suburban,SUV,No,Yes,Medium,No
59,53,126966,52.1,2,4,19,4,Female,Urban,SUV,Yes,Yes,Low,Yes
60,53,86844,59,2,2,18,4,Male,Urban,SUV,Yes,No,Low,No
61,34,95772,22,1,1,1,3,Female,Rural,Sedan,No,No,Medium,No
62,49,51741,33.4,2,0,7,4,Female,Suburban,SUV,No,No,Low,No
63,35,75480,5,2,0,7,3,Male,Suburban,SUV,Yes,Yes,Low,No
64,53,75874,47.1,3,0,2,5,Male,Suburban,Sedan,Yes,Yes,Low,No
65,31,90977,37.2,2,7,5,3,Female,Suburban,SUV,Yes,Yes,Low,No
66,47,106031,33.6,1,9,4,1,Female,Urban,Sedan,No,No,Medium,No
67,56,78447,26.5,1,6,6,2,Male,Suburban,Hatchback,Yes,Yes,Low,No
68,52,63341,54.3,1,1,1,2,Male,Rural,Sedan,Yes,No,Low,No
69,68,100627,53.2,2,6,14,1,Male,Urban,SUV,No,Yes,Low,No
70,52,133893,61.1,2,5,3,1,Female,Suburban,Sedan,No,No,Medium,No
71,57,94741,50.8,1,0,8,5,Male,Suburban,SUV,Yes,Yes,Low,No
72,31,72875,47.2,1,9,12,4,Male,Urban,Sedan,Yes,Yes,Low,No
73,56,78737,37.5,2,0,2,2,Male,Rural,Sedan,Yes,Yes,Low,No
74,69,121824,57.2,1,11,5,4,Male,Urban,SUV,Yes,Yes,Low,No
75,59,62211,52,1,5,6,4,Female,Suburban,SUV,Yes,Yes,Low,No
76,67,123594,12.8,2,4,5,5,Male,Urban,SUV,No,Yes,Low,Yes
77,59,122042,28.3,3,6,14,5,Female,Urban,Sedan,No,Yes,Low,Yes
78,56,121956,57.1,2,2,0,5,Male,Rural,SUV,Yes,Yes,Low,Yes
79,63,63771,12.7,2,7,5,4,Female,Suburban,Sedan,Yes,No,Low,No
80,67,96749,5,2,0,1,2,Female,Rural,SUV,Yes,No,Low,No
81,41,76537,41.2,2,5,8,2,Female,Suburban,Sedan,Yes,Yes,Low,No
82,41,107585,5,2,6,18,5,Female,Urban,Truck,No,Yes,Low,Yes
83,64,30000,5,2,2,3,4,Female,Urban,Sedan,Yes,Yes,Low,No
84,31,89893,5,1,1,5,2,Male,Suburban,Sedan,Yes,Yes,Low,No
85,49,88350,48.7,2,1,0,4,Male,Rural,SUV,Yes,No,Low,No
86,40,107418,45.8,1,1,7,3,Female,Suburban,Hatchback,Yes,Yes,Low,No
87,54,57898,5,1,3,14,2,Male,Urban,SUV,No,No,Low,No
88,69,81093,43.9,1,0,3,2,Female,Rural,Sedan,Yes,No,Low,No
89,58,87431,5,2,4,6,1,Male,Urban,SUV,Yes,No,Low,No
90,30,121067,33.6,1,7,7,2,Other,Urban,Sedan,No,No,Medium,No
91,62,30000,37.1,2,3,9,1,Female,Urban,SUV,Yes,No,Low,No
92,38,30000,39.3,2,0,8,2,Male,Suburban,Sedan,Yes,Yes,Low,No
93,56,105640,43.9,1,11,9,2,Female,Urban,SUV,No,No,Low,No
94,64,96573,51.2,1,2,3,2,Female,Rural,Sedan,Yes,Yes,Low,No
95,53,61380,64.6,2,14,15,5,Male,Urban,Sedan,No,Yes,Low,Yes
96,32,70864,49.2,1,8,3,1,Male,Urban,Sedan,No,No,Medium,No
97,58,81778,5,1,4,13,2,Female,Urban,Hatchback,No,No,Low,No
98,61,89277,36,2,6,9,4,Female,Urban,SUV,No,Yes,Low,No
99,61,81143,5,2,2,2,3,Female,Rural,Hatchback,Yes,Yes,Low,Yes
100,53,44909,47.9,2,0,8,2,Male,Suburban,Truck,Yes,Yes,Low,No
101,58,85833,43.6,1,6,17,2,Female,Urban,Hatchback,No,No,Low,No
102,67,81277,49.3,1,0,3,4,Female,Rural,SUV,Yes,Yes,Low,No
103,48,30000,48.9,1,8,10,1,Female,Urban,Sedan,No,Yes,Low,No
104,68,114050,49.1,1,0,3,2,Male,Rural,Hatchback,Yes,No,Low,No
105,36,84529,5,2,7,4,2,Female,Suburban,Sedan,Yes,No,Low,No
106,46,112555,5,1,2,2,4,Male,Rural,Hatchback,Yes,Yes,Low,Yes
107,33,56888,11.7,2,10,11,1,Female,Urban,Sedan,Yes,Yes,Low,No
108,50,43932,43.3,2,3,8,5,Male,Suburban,Sedan,Yes,Yes,Low,No
109,49,88201,5,1,7,2,3,Female,Suburban,Truck,Yes,No,Low,No
110,66,76958,18.8,2,2,2,4,Male,Suburban,Sedan,Yes,Yes,Low,No
111,47,76495,5,1,5,1,1,Female,Suburban,Hatchback,Yes,No,Low,No
112,47,146435,43.9,1,4,6,5,Female,Suburban,Hatchback,Yes,No,Low,No
113,26,103890,27.9,2,4,13,2,Male,Urban,Sedan,Yes,Yes,Low,No
114,29,107778,30.9,2,9,11,3,Male,Urban,Hatchback,No,No,Low,No
115,68,116370,24.4,1,5,2,3,Female,Suburban,Sedan,Yes,No,Low,No
116,69,72989,22.4,2,3,5,3,Female,Suburban,Sedan,Yes,Yes,Low,No
117,25,49710,35.7,1,3,1,5,Female,Suburban,Truck,Yes,Yes,Low,No
118,66,79499,66.6,1,6,11,4,Female,Urban,SUV,No,Yes,Medium,No
119,66,81110,5,3,0,1,2,Male,Rural,Hatchback,Yes,Yes,Low,No
120,26,93922,27.9,1,7,4,2,Female,Suburban,Sedan,Yes,No,Low,No
121,39,96523,58.9,2,0,3,5,Female,Suburban,Truck,No,Yes,Medium,No
122,38,103550,36.8,1,6,5,3,Male,Suburban,Sedan,Yes,Yes,Low,No
123,43,104533,27.5,2,7,17,2,Female,Urban,Hatchback,No,No,Low,No
124,49,73462,30.1,1,0,1,4,Male,Rural,SUV,Yes,No,Medium,No
125,35,123547,59,2,2,7,3,Male,Suburban,Sedan,Yes,No,Low,No
126,69,30000,49,2,2,7,4,Male,Urban,Truck,No,No,Medium,No
127,40,59845,47.9,2,5,1,2,Female,Suburban,SUV,Yes,No,Low,No
128,46,100435,42.9,2,2,0,4,Male,Rural,Hatchback,Yes,No,Low,No
129,54,69446,5,1,5,8,5,Female,Suburban,Sedan,No,No,Medium,No
130,28,146967,28.4,2,5,13,4,Male,Urban,Sedan,No,Yes,Low,Yes
131,28,80777,5,2,2,10,1,Female,Urban,Sedan,No,No,Low,No
132,44,90506,5,2,7,4,2,Male,Suburban,Sedan,No,No,Low,No
133,41,64714,5,3,3,9,1,Female,Suburban,Sedan,Yes,Yes,Low,No
134,66,106769,65.1,3,9,5,4,Male,Urban,SUV,Yes,No,Low,No
135,32,64472,55.7,1,5,9,5,Male,Urban,Hatchback,Yes,Yes,Low,No
136,45,103547,32.1,1,5,3,4,Female,Suburban,Sedan,No,Yes,Medium,No
137,59,100545,71.3,1,13,15,3,Male,Urban,SUV,Yes,Yes,Low,No
138,49,67524,50.4,2,11,18,2,Male,Urban,Sedan,Yes,No,Low,No
139,50,122347,41.2,1,6,8,3,Female,Suburban,Truck,Yes,No,Low,No
140,51,81699,5,2,4,7,3,Male,Suburban,SUV,Yes,No,Low,No
141,26,103955,40.9,2,4,9,5,Male,Suburban,SUV,Yes,Yes,Low,Yes
142,67,78723,58.8,2,2,3,3,Male,Rural,SUV,Yes,No,Low,No
143,29,74450,5,1,2,18,5,Male,Urban,Sedan,No,Yes,Low,Yes
144,52,78957,5,2,11,6,4,Male,Urban,Sedan,Yes,Yes,Low,No
145,65,65469,61.4,1,7,8,1,Female,Urban,SUV,No,No,Low,No
146,48,93680,29.2,2,5,8,4,Female,Urban,Sedan,Yes,Yes,Low,No
147,64,120579,16.2,1,1,3,1,Male,Rural,Sedan,Yes,Yes,Low,No
148,32,64151,57.4,2,12,18,2,Male,Urban,Sedan,No,Yes,Low,No
149,63,99619,26.9,1,1,2,2,Male,Rural,SUV,Yes,Yes,Low,No
150,34,65766,5,2,6,18,1,Male,Urban,Sedan,No,No,Low,No
151,47,155959,46.7,1,2,3,1,Male,Rural,Sedan,Yes,No,Low,No
152,31,91613,5,2,4,16,4,Female,Urban,Truck,No,Yes,Low,No
153,53,97563,5,1,6,3,1,Female,Suburban,Sedan,Yes,Yes,Low,No
154,56,30000,49.5,2,2,6,1,Female,Suburban,SUV,Yes,Yes,Low,No
155,35,63919,29.5,2,1,8,5,Female,Suburban,Truck,Yes,Yes,Low,No
