"id","Age","Annual_Income_USD","Daily_Commute_km"
12,25,113911,47.4
14,25,92697,19.5
25,25,78740,49.4
117,25,49710,35.7
268,25,78871,28.7
478,25,73947,42.3
505,25,87555,5
575,25,84584,47.1
605,25,58877,41.6
648,25,47631,48.9
703,25,57898,33.3
704,25,93791,55.6
767,25,75874,36.7
779,25,72615,61.9
835,25,91413,66.3
841,25,39396,32
844,25,94103,21.2
1018,25,107561,46.6
1028,25,94598,45.1
1139,25,154867,46.9
1148,25,70886,50.3
1211,25,64559,43.5
1334,25,126424,51.8
1355,25,44738,41.6
1359,25,46447,67.6
1393,25,85800,44.9
1553,25,123826,40.3
1562,25,58891,5
1605,25,101318,40.5
1754,25,152758,42.9
1772,25,77534,61.9
1835,25,30000,5
1841,25,51344,54.9
1910,25,81966,5
1911,25,93028,30.9
1923,25,87836,34.5
1948,25,66514,36.4
2002,25,91619,5
2036,25,47350,12.8
2060,25,57990,58
2115,25,134051,58.1
2153,25,119625,61.9
2201,25,75488,45.1
2207,25,61380,32.8
2210,25,107310,42.7
2245,25,119237,5
2254,25,54573,44.4
2285,25,57931,42.1
2397,25,84535,20.6
2413,25,76978,5
2443,25,143620,26.8
2559,25,84589,40.5
2572,25,81954,5
2629,25,121461,54.7
2645,25,58734,55.1
2650,25,63841,25.2
2723,25,74568,5
2754,25,115181,33.4
2865,25,60401,42.1
2978,25,87953,5
2996,25,102042,25.9
3167,25,132812,15.4
3273,25,78418,35.7
3331,25,121160,39
3344,25,83622,33.5
3358,25,137424,43.1
3422,25,128015,5
3520,25,39673,46.8
3584,25,95621,34.7
3650,25,111206,39
3668,25,94936,23.4
3684,25,90912,54.2
3692,25,81093,18.9
3699,25,30000,32.3
3711,25,58764,34.6
3715,25,131482,32.5
3730,25,86429,33.7
3873,25,30000,32.4
3908,25,30000,55.4
3954,25,45615,5
3959,25,82313,43.1
3964,25,58161,36.1
3990,25,30000,40.4
4016,25,46945,53.3
4123,25,54887,34.5
4167,25,66518,48.7
4169,25,60770,50.8
4272,25,112195,5
4334,25,136790,15.7
4418,25,30000,32.6
4419,25,82665,42.8
4444,25,105536,36.6
4527,25,51460,36.4
4567,25,82870,5
4652,25,81133,45.9
4706,25,88889,50.5
4732,25,30000,25.5
4734,25,56522,57.7
4760,25,30000,34.4
4777,25,111797,50.7
4803,25,30000,33.1
4820,25,132976,70.8
4875,25,75311,41.8
4908,25,51593,8
5036,25,93766,33.3
5183,25,103843,30.3
5217,25,78890,32.6
5260,25,83066,5
5267,25,107845,5
5280,25,142784,43.2
5295,25,95717,55.6
5377,25,62266,46.6
5437,25,63987,55.3
5441,25,68489,5
5629,25,72660,46
5669,25,115948,46.8
5692,25,109397,11.7
5728,25,76269,58.2
5911,25,30000,18
5923,25,30000,30.6
5938,25,58748,21.3
6076,25,87948,53.8
6141,25,74183,50.3
6187,25,82483,27.9
6224,25,121286,29.4
6368,25,86800,24.8
6532,25,136543,33
6739,25,78677,38.7
6858,25,113784,69.9
6918,25,74541,24.5
6938,25,83745,29.2
6967,25,71258,50.5
7001,25,81562,5
7033,25,86436,49.5
7107,25,109218,26.9
7191,25,86920,31.6
7193,25,83950,21.2
7202,25,99433,36.2
7276,25,69772,70.6
7278,25,46799,38.4
7335,25,130275,35.3
7370,25,94338,5
